Date,Open,High,Low,Close,Volume,Adj. Close*
10-Jun-69,77.62,78.37,77.62,78.00,6100,0.00
9-Jun-69,77.75,78.00,77.25,77.62,14800,0.00
6-Jun-69,78.62,78.87,77.75,77.75,15200,0.00
5-Jun-69,78.12,78.62,78.12,78.62,5800,0.00
4-Jun-69,78.25,79.25,78.00,78.00,7200,0.00
3-Jun-69,79.00,79.00,78.00,78.25,8400,0.00
2-Jun-69,79.37,79.37,78.62,79.00,10500,0.00
29-May-69,78.25,79.37,78.12,79.37,12500,0.00
28-May-69,78.75,78.75,78.12,78.25,9400,0.00
27-May-69,80.50,80.50,79.00,79.00,7300,0.00
26-May-69,80.87,80.87,80.50,80.50,11200,0.00
23-May-69,80.50,81.50,80.50,80.87,10800,0.00
22-May-69,79.87,80.87,79.87,80.50,11700,0.00
21-May-69,79.25,79.50,78.00,79.50,15500,0.00
20-May-69,79.75,79.75,78.87,79.25,10800,0.00
19-May-69,80.50,80.50,79.62,79.75,22000,0.00
16-May-69,80.62,80.62,80.25,80.50,32000,0.00
15-May-69,81.50,81.50,80.50,80.87,21100,0.00
14-May-69,81.25,82.00,81.25,82.00,14400,0.00
13-May-69,80.50,81.25,80.50,81.25,19500,0.00
12-May-69,80.25,80.25,79.87,80.25,31100,0.00
9-May-69,82.50,82.75,81.00,81.00,6900,0.00
8-May-69,82.87,83.25,82.50,82.50,18600,0.00
7-May-69,83.37,83.37,82.75,82.87,25500,0.00
6-May-69,83.00,83.50,83.00,83.37,20600,0.00
5-May-69,83.00,83.50,82.87,83.00,25500,0.00
2-May-69,82.00,83.00,81.75,83.00,22500,0.00
1-May-69,83.50,83.50,81.62,82.00,83900,0.00
30-Apr-69,83.00,84.00,83.00,84.00,73100,0.00
29-Apr-69,79.87,82.25,79.87,82.25,24500,0.00
28-Apr-69,78.62,79.50,78.62,79.50,14400,0.00
25-Apr-69,77.87,78.62,77.87,78.37,25500,0.00
24-Apr-69,76.87,77.87,76.87,77.75,12500,0.00
23-Apr-69,75.87,76.75,75.87,76.75,27700,0.00
22-Apr-69,75.75,75.75,75.12,75.62,29100,0.00
21-Apr-69,76.50,76.75,75.25,75.75,15500,0.00
18-Apr-69,76.00,76.50,76.00,76.50,21700,0.00
17-Apr-69,75.50,77.00,75.50,75.50,55300,0.00
16-Apr-69,75.25,75.50,74.75,74.75,11100,0.00
15-Apr-69,74.87,75.25,74.50,75.25,28800,0.00
14-Apr-69,75.50,75.50,74.87,74.87,10600,0.00
11-Apr-69,76.00,76.00,75.37,75.50,11600,0.00
10-Apr-69,77.00,77.75,76.00,76.00,17300,0.00
9-Apr-69,77.00,77.12,76.87,77.00,15300,0.00
8-Apr-69,76.75,77.12,76.37,77.00,14400,0.00
7-Apr-69,77.00,77.00,76.00,76.75,12700,0.00
3-Apr-69,77.75,77.75,77.37,77.75,25500,0.00
2-Apr-69,77.12,78.50,76.62,77.75,15500,0.00
1-Apr-69,76.50,77.62,75.00,77.12,33900,0.00
28-Mar-69,74.87,76.50,74.87,76.50,12800,0.00
27-Mar-69,74.25,74.87,74.25,74.50,17800,0.00
26-Mar-69,72.62,73.37,72.62,73.12,9100,0.00
25-Mar-69,72.62,73.25,72.62,72.62,5600,0.00
24-Mar-69,73.00,73.25,72.50,72.50,6200,0.00
21-Mar-69,73.25,73.25,73.00,73.00,4800,0.00
20-Mar-69,72.25,73.87,72.25,73.37,8400,0.00
19-Mar-69,72.00,72.50,71.37,72.00,7300,0.00
18-Mar-69,71.50,72.25,71.50,72.00,35500,0.00
17-Mar-69,71.62,71.62,70.50,70.75,35300,0.00
14-Mar-69,72.00,72.00,71.25,71.87,32200,0.00
13-Mar-69,73.00,73.00,72.25,72.25,9500,0.00
12-Mar-69,73.50,73.87,73.00,73.00,13700,0.00
11-Mar-69,73.25,74.25,73.25,73.50,10300,0.00
10-Mar-69,72.87,73.37,72.87,73.12,5500,0.00
7-Mar-69,73.37,73.37,72.75,72.87,12500,0.00
6-Mar-69,73.75,73.87,73.37,73.50,9200,0.00
5-Mar-69,74.00,74.75,73.75,73.75,10800,0.00
4-Mar-69,73.00,74.00,73.00,74.00,12000,0.00
3-Mar-69,72.75,73.25,72.50,72.62,6200,0.00
28-Feb-69,72.25,73.00,72.00,72.75,8000,0.00
27-Feb-69,72.50,72.50,71.50,72.25,24800,0.00
26-Feb-69,71.25,73.75,71.12,72.62,12500,0.00
25-Feb-69,71.75,72.75,71.25,71.25,11600,0.00
24-Feb-69,73.50,74.00,71.75,71.75,11100,0.00
20-Feb-69,74.62,75.00,73.50,73.50,16400,0.00
19-Feb-69,74.75,74.87,74.50,74.62,13900,0.00
18-Feb-69,75.12,75.12,74.50,74.75,20200,0.00
17-Feb-69,75.50,75.50,75.00,75.25,20000,0.00
14-Feb-69,76.87,77.50,75.50,75.50,13900,0.00
13-Feb-69,77.00,77.37,76.00,76.87,10600,0.00
12-Feb-69,77.25,77.25,77.00,77.00,10500,0.00
11-Feb-69,77.12,77.50,77.12,77.50,7300,0.00
7-Feb-69,77.00,77.00,76.50,77.00,10900,0.00
6-Feb-69,77.00,77.25,76.87,77.00,8600,0.00
5-Feb-69,77.50,77.50,76.00,77.00,20000,0.00
4-Feb-69,78.25,78.25,77.25,77.75,20300,0.00
3-Feb-69,78.75,78.75,77.87,78.25,12300,0.00
31-Jan-69,80.25,80.25,79.00,79.62,15300,0.00
30-Jan-69,79.50,80.25,79.50,80.25,14400,0.00
29-Jan-69,78.62,79.25,78.62,79.00,9700,0.00
28-Jan-69,79.37,79.37,78.25,78.62,11100,0.00
27-Jan-69,79.12,80.00,79.00,79.50,35300,0.00
24-Jan-69,78.00,79.50,76.75,79.12,23300,0.00
23-Jan-69,77.00,78.00,77.00,78.00,52700,0.00
22-Jan-69,76.62,76.87,76.50,76.75,32000,0.00
21-Jan-69,76.75,76.87,76.25,76.62,13300,0.00
20-Jan-69,76.12,76.75,76.12,76.75,17000,0.00
17-Jan-69,77.00,77.25,76.12,76.12,9700,0.00
16-Jan-69,76.62,77.37,76.62,77.00,19800,0.00
15-Jan-69,75.00,76.50,75.00,76.50,43600,0.00
14-Jan-69,74.37,75.00,74.37,75.00,20900,0.00
13-Jan-69,73.25,74.37,73.00,74.25,16900,0.00
10-Jan-69,73.25,73.50,73.00,73.25,10900,0.00
9-Jan-69,71.00,74.12,71.00,73.25,23900,0.00
8-Jan-69,72.00,72.87,70.75,71.00,10000,0.00
7-Jan-69,73.50,73.50,69.75,72.00,17500,0.00
6-Jan-69,74.50,74.87,74.00,74.00,14700,0.00
3-Jan-69,72.75,74.62,72.25,74.50,11400,0.00
2-Jan-69,73.00,73.25,72.00,72.75,22300,0.00
31-Dec-68,72.75,73.12,72.37,73.00,13000,0.00
30-Dec-68,74.62,74.62,72.50,72.75,20500,0.00
27-Dec-68,75.12,75.50,74.37,74.62,5200,0.00
26-Dec-68,74.75,75.25,74.37,75.12,7800,0.00
24-Dec-68,74.12,75.00,74.00,74.75,24200,0.00
23-Dec-68,75.87,75.87,74.00,74.12,23800,0.00
20-Dec-68,78.75,78.75,75.25,75.87,27700,0.00
19-Dec-68,78.25,79.25,77.25,78.75,31600,0.00
17-Dec-68,79.25,79.75,78.00,78.25,14700,0.00
16-Dec-68,78.75,80.25,78.50,79.25,15600,0.00
13-Dec-68,78.25,79.50,78.25,78.75,12200,0.00
12-Dec-68,79.87,80.12,77.75,78.12,17500,0.00
10-Dec-68,78.87,80.12,78.87,79.87,23400,0.00
9-Dec-68,76.75,79.37,76.75,78.50,18100,0.00
6-Dec-68,76.25,76.62,76.00,76.50,15300,0.00
5-Dec-68,75.50,76.37,75.50,76.25,42700,0.00
3-Dec-68,74.25,75.50,74.00,74.75,10600,0.00
2-Dec-68,75.62,76.00,73.75,74.25,42500,0.00
29-Nov-68,75.75,75.87,75.25,75.62,10800,0.00
27-Nov-68,76.25,76.62,75.75,75.75,12800,0.00
26-Nov-68,76.62,77.50,76.25,76.25,27300,0.00
25-Nov-68,76.25,76.62,75.62,76.62,19800,0.00
22-Nov-68,74.00,76.25,74.00,76.25,71600,0.00
21-Nov-68,71.37,73.50,71.37,73.50,29700,0.00
19-Nov-68,71.12,71.12,70.50,70.87,16100,0.00
18-Nov-68,71.37,72.00,71.25,71.50,30800,0.00
15-Nov-68,71.12,71.75,71.12,71.37,6700,0.00
14-Nov-68,72.75,73.00,71.00,71.12,33100,0.00
13-Nov-68,72.75,74.00,72.75,72.75,11200,0.00
12-Nov-68,71.12,72.75,71.12,72.75,21900,0.00
8-Nov-68,70.25,70.50,69.62,70.25,23000,0.00
7-Nov-68,70.25,70.50,69.37,70.25,12500,0.00
6-Nov-68,70.12,71.00,70.12,70.25,13700,0.00
4-Nov-68,70.75,71.25,70.12,70.12,11100,0.00
1-Nov-68,70.50,71.37,70.50,70.75,24500,0.00
31-Oct-68,72.50,73.00,70.50,70.50,23600,0.00
29-Oct-68,72.75,73.25,72.50,72.50,14700,0.00
28-Oct-68,72.87,72.87,72.50,72.75,14100,0.00
25-Oct-68,73.12,73.87,72.87,73.12,15900,0.00
24-Oct-68,73.50,74.00,72.75,73.12,14100,0.00
22-Oct-68,74.12,74.12,73.50,73.50,9200,0.00
21-Oct-68,74.50,75.00,73.62,74.87,13000,0.00
18-Oct-68,72.75,74.75,72.75,74.50,15300,0.00
17-Oct-68,72.00,72.87,71.75,72.12,16400,0.00
15-Oct-68,72.87,73.25,72.00,72.00,20800,0.00
14-Oct-68,72.50,73.00,72.25,72.87,8300,0.00
11-Oct-68,73.25,73.25,71.75,72.50,11700,0.00
10-Oct-68,74.62,74.62,73.00,73.25,23800,0.00
8-Oct-68,74.25,74.87,74.25,74.62,11400,0.00
7-Oct-68,74.75,74.75,73.50,74.25,20800,0.00
4-Oct-68,73.75,74.75,73.62,74.75,13300,0.00
3-Oct-68,73.00,74.00,73.00,73.75,51600,0.00
1-Oct-68,73.00,73.50,72.75,72.87,11400,0.00
30-Sep-68,73.50,73.87,73.00,73.00,13100,0.00
27-Sep-68,73.00,73.87,73.00,73.50,13700,0.00
26-Sep-68,72.75,74.00,72.75,72.75,35300,0.00
24-Sep-68,71.75,72.87,71.75,72.37,19500,0.00
23-Sep-68,70.87,71.12,70.00,71.00,11200,0.00
20-Sep-68,70.50,71.12,70.50,70.87,14100,0.00
19-Sep-68,70.25,71.50,70.25,70.37,15500,0.00
17-Sep-68,69.75,70.25,69.75,70.25,21900,0.00
16-Sep-68,68.37,69.75,67.50,69.75,22500,0.00
13-Sep-68,68.25,68.75,67.37,68.37,20600,0.00
12-Sep-68,68.87,68.87,67.87,68.25,23600,0.00
10-Sep-68,71.25,71.37,68.62,69.62,17800,0.00
9-Sep-68,70.12,71.50,70.12,71.25,41700,0.00
6-Sep-68,69.62,70.25,69.37,70.00,21100,0.00
5-Sep-68,69.37,70.12,69.37,69.62,31400,0.00
4-Sep-68,68.50,69.25,68.25,69.25,28900,0.00
3-Sep-68,68.00,68.50,67.75,68.50,12300,0.00
30-Aug-68,67.87,68.75,67.87,68.00,26300,0.00
29-Aug-68,67.50,67.75,67.12,67.62,15200,0.00
27-Aug-68,67.25,67.87,67.12,67.50,15500,0.00
26-Aug-68,67.12,68.00,67.12,67.25,16400,0.00
23-Aug-68,66.12,67.00,66.12,67.00,14100,0.00
22-Aug-68,66.00,67.12,65.75,65.75,16200,0.00
20-Aug-68,65.50,66.00,65.12,66.00,11100,0.00
19-Aug-68,65.12,65.50,65.00,65.50,10500,0.00
16-Aug-68,64.87,65.37,64.12,65.12,15200,0.00
15-Aug-68,64.50,64.87,64.50,64.87,10900,0.00
13-Aug-68,65.00,65.12,64.25,64.37,12000,0.00
12-Aug-68,64.37,65.00,64.00,65.00,12800,0.00
9-Aug-68,63.50,64.62,63.25,64.37,13300,0.00
8-Aug-68,64.12,64.12,63.50,63.50,18700,0.00
6-Aug-68,63.88,64.25,63.88,64.25,3700,0.00
5-Aug-68,64.25,64.75,63.75,63.88,10300,0.00
2-Aug-68,64.62,64.62,63.75,64.25,13600,0.00
1-Aug-68,65.00,65.37,64.50,65.12,12700,0.00
30-Jul-68,64.37,65.00,64.37,65.00,13600,0.00
29-Jul-68,64.12,64.87,64.12,64.37,36100,0.00
26-Jul-68,62.75,64.00,62.75,63.88,22800,0.00
25-Jul-68,64.75,64.75,62.50,62.75,24500,0.00
23-Jul-68,65.00,65.00,63.50,64.75,32700,0.00
22-Jul-68,67.50,67.87,65.50,65.50,22300,0.00
19-Jul-68,67.87,67.87,67.25,67.50,23800,0.00
18-Jul-68,68.37,68.37,67.75,67.87,28100,0.00
16-Jul-68,69.12,69.12,68.37,68.50,26300,0.00
15-Jul-68,69.75,70.00,69.50,69.50,19400,0.00
12-Jul-68,69.37,69.87,69.37,69.75,13700,0.00
11-Jul-68,69.75,70.62,69.00,69.00,31100,0.00
9-Jul-68,69.25,70.00,69.25,69.75,17300,0.00
8-Jul-68,68.25,69.37,68.25,68.75,24500,0.00
3-Jul-68,67.50,68.00,67.50,67.87,12200,0.00
2-Jul-68,66.75,67.87,66.75,67.37,19800,0.00
1-Jul-68,67.25,67.75,66.75,66.75,40600,0.00
28-Jun-68,68.50,68.50,67.00,67.25,20200,0.00
27-Jun-68,67.37,68.87,67.12,68.75,20500,0.00
25-Jun-68,67.12,67.37,67.00,67.37,13600,0.00
24-Jun-68,67.37,67.62,66.75,67.12,20900,0.00
21-Jun-68,68.87,68.87,67.25,67.37,18700,0.00
20-Jun-68,69.12,69.37,68.75,68.87,21100,0.00
18-Jun-68,69.25,69.50,68.75,69.12,18300,0.00
17-Jun-68,69.50,69.50,69.00,69.25,15900,0.00
14-Jun-68,69.62,70.00,69.12,69.50,18300,0.00
13-Jun-68,70.25,70.75,69.62,69.62,23000,0.00
11-Jun-68,70.25,71.00,70.25,70.25,16900,0.00
10-Jun-68,71.87,71.87,70.25,70.25,22800,0.00
7-Jun-68,72.75,73.50,71.75,71.87,13900,0.00
6-Jun-68,72.50,72.87,72.00,72.75,13700,0.00
5-Jun-68,74.00,75.75,72.50,72.50,21400,0.00
4-Jun-68,73.12,74.00,73.12,74.00,21400,0.00
3-Jun-68,70.12,72.75,70.12,72.37,15500,0.00
31-May-68,69.25,70.00,69.25,69.62,11200,0.00
29-May-68,68.87,69.00,68.12,69.00,12800,0.00
28-May-68,68.87,69.00,67.75,68.87,23300,0.00
27-May-68,68.75,68.87,68.00,68.87,10200,0.00
24-May-68,68.37,68.75,67.87,68.75,11400,0.00
23-May-68,68.75,68.75,67.87,68.37,11700,0.00
22-May-68,69.25,69.50,68.75,69.00,13700,0.00
21-May-68,69.75,70.37,69.25,69.25,12200,0.00
20-May-68,70.00,70.00,68.00,69.75,10900,0.00
13-Feb-62,58.75,59.13,58.75,58.88,9800,0.00
12-Feb-62,58.25,58.38,58.13,58.13,2700,0.00
9-Feb-62,58.88,59.25,58.25,58.25,5300,0.00
8-Feb-62,59.13,59.38,58.50,58.88,8100,0.00
7-Feb-62,58.88,59.50,58.88,59.13,7200,0.00
6-Feb-62,59.13,59.13,58.25,58.75,6400,0.00
5-Feb-62,59.50,59.88,59.50,59.50,11400,0.00
2-Feb-62,59.38,59.75,59.00,59.13,4800,0.00
1-Feb-62,59.63,59.63,58.75,59.38,10600,0.00
31-Jan-62,59.88,60.00,59.63,59.75,8700,0.00
30-Jan-62,59.38,59.88,59.38,59.88,4800,0.00
29-Jan-62,59.38,59.75,59.13,59.25,6700,0.00
26-Jan-62,59.13,59.38,59.13,59.38,5900,0.00
25-Jan-62,59.75,59.88,59.13,59.13,5900,0.00
24-Jan-62,60.13,60.13,58.50,59.75,7200,0.00
23-Jan-62,60.50,61.13,60.13,60.13,5500,0.00
22-Jan-62,60.50,61.38,60.50,60.50,10900,0.00
19-Jan-62,60.00,60.63,60.00,60.25,10200,0.00
18-Jan-62,60.00,60.00,60.00,60.00,14100,0.00
17-Jan-62,60.00,60.25,60.00,60.00,12500,0.00
16-Jan-62,60.50,60.50,60.00,60.00,4400,0.00
15-Jan-62,61.50,61.50,60.75,60.75,10200,0.00
12-Jan-62,63.50,63.63,62.00,62.00,4200,0.00
11-Jan-62,63.63,63.63,63.25,63.50,4400,0.00
10-Jan-62,63.75,64.00,63.50,63.88,5500,0.00
9-Jan-62,64.00,65.00,63.75,63.75,10200,0.00
8-Jan-62,66.00,66.00,63.50,64.00,14700,0.00
5-Jan-62,66.37,66.75,66.12,66.25,11100,0.00
4-Jan-62,66.37,66.87,66.37,66.37,12700,0.00
3-Jan-62,65.37,66.37,65.25,66.37,11700,0.00
2-Jan-62,65.37,65.75,65.37,65.37,8700,0.00
